"TE","TE_fam","TE_class","signif","TE_pos","lncRNA_name","lncRNA_pos","sex"
"MERVL_2A-int_7_25242969","LTR","ERVL","Up","7:25242970-25247535","4732471J01Rik-208","7:25076225-25274503","female"
"MERVL_2A-int_7_25242969","LTR","ERVL","Up","7:25242970-25247535","4732471J01Rik-209","7:25076227-25274503","female"
"MERVL_2A-int_7_25242969","LTR","ERVL","Up","7:25242970-25247535","4732471J01Rik-203","7:25094839-25265842","female"
"MERVL_2A-int_7_25242969","LTR","ERVL","Up","7:25242970-25247535","4732471J01Rik-205","7:25095889-25274499","female"
"MERVL_2A-int_7_25242969","LTR","ERVL","Up","7:25242970-25247535","4732471J01Rik-211","7:25098256-25265379","female"
"MIR3_19_10408740","SINE","MIR","Up","19:10408741-10408871","Gm59152-201","19:10399173-10410691","female"
"MIRb_19_10402681","SINE","MIR","Up","19:10402682-10402825","Gm59152-201","19:10399173-10410691","female"
"MLT1D_12_70309026","LTR","ERVL-MaLR","Up","12:70309027-70309484","Gm48747-201","12:70297939-70322371","female"
"MMERVK10C-int_3_40833130","LTR","ERVK","Up","3:40833131-40836156","6430590A07Rik-203","3:40817683-40848475","female"
"MMERVK10C-int_3_40836552","LTR","ERVK","Up","3:40836553-40841092","6430590A07Rik-203","3:40817683-40848475","female"
"MMERVK10D3_I_12_87197069","LTR","ERVK","Up","12:87197070-87200554","Gm6566-201","12:87196249-87202260","female"
"MMERVK10D3_I_12_87197069","LTR","ERVK","Up","12:87197070-87200554","Gm6566-203","12:87196254-87205079","female"
"MMERVK10D3_I_12_87197069","LTR","ERVK","Up","12:87197070-87200554","Gm6566-202","12:87196817-87205840","female"
"MT2B1_10_39526215","LTR","ERVL","Up","10:39526216-39526727","E130307A14Rik-215","10:39497408-39607934","female"
"MT2B1_10_39526215","LTR","ERVL","Up","10:39526216-39526727","E130307A14Rik-230","10:39497408-39607979","female"
"MT2B1_10_39526215","LTR","ERVL","Up","10:39526216-39526727","E130307A14Rik-202","10:39497408-39607998","female"
"MT2B1_10_39526215","LTR","ERVL","Up","10:39526216-39526727","E130307A14Rik-224","10:39497408-39607999","female"
"MT2B1_10_39526215","LTR","ERVL","Up","10:39526216-39526727","E130307A14Rik-227","10:39497408-39608000","female"
"MT2B1_10_39526215","LTR","ERVL","Up","10:39526216-39526727","E130307A14Rik-229","10:39497408-39608000","female"
"MT2B1_10_39526215","LTR","ERVL","Up","10:39526216-39526727","E130307A14Rik-205","10:39497408-39608001","female"
"MT2B1_10_39526215","LTR","ERVL","Up","10:39526216-39526727","E130307A14Rik-225","10:39497408-39608002","female"
"MT2B1_10_39526215","LTR","ERVL","Up","10:39526216-39526727","E130307A14Rik-201","10:39497408-39608003","female"
"MT2B1_10_39526215","LTR","ERVL","Up","10:39526216-39526727","E130307A14Rik-218","10:39497408-39608008","female"
"MT2B1_10_39526215","LTR","ERVL","Up","10:39526216-39526727","E130307A14Rik-204","10:39497408-39608012","female"
"MT2B1_10_39526215","LTR","ERVL","Up","10:39526216-39526727","E130307A14Rik-226","10:39497408-39608015","female"
"MT2B1_10_39526215","LTR","ERVL","Up","10:39526216-39526727","E130307A14Rik-210","10:39497408-39608024","female"
"MT2B1_10_39526215","LTR","ERVL","Up","10:39526216-39526727","E130307A14Rik-228","10:39497410-39607845","female"
"MT2B1_10_39526215","LTR","ERVL","Up","10:39526216-39526727","E130307A14Rik-219","10:39497410-39607929","female"
"MT2B1_10_39526215","LTR","ERVL","Up","10:39526216-39526727","E130307A14Rik-216","10:39497429-39607844","female"
"MT2B1_10_39526215","LTR","ERVL","Up","10:39526216-39526727","E130307A14Rik-208","10:39498127-39607978","female"
"MT2B1_10_39526215","LTR","ERVL","Up","10:39526216-39526727","E130307A14Rik-217","10:39498132-39530560","female"
"MT2B1_10_39526215","LTR","ERVL","Up","10:39526216-39526727","E130307A14Rik-221","10:39498563-39607873","female"
"MT2B1_10_39526215","LTR","ERVL","Up","10:39526216-39526727","E130307A14Rik-207","10:39498621-39607812","female"
"MT2B1_10_39526215","LTR","ERVL","Up","10:39526216-39526727","E130307A14Rik-212","10:39498972-39607775","female"
"MT2B1_10_39526215","LTR","ERVL","Up","10:39526216-39526727","E130307A14Rik-231","10:39506745-39608018","female"
"MT2B1_10_39526215","LTR","ERVL","Up","10:39526216-39526727","E130307A14Rik-223","10:39512609-39607877","female"
"MT2B1_10_39526215","LTR","ERVL","Up","10:39526216-39526727","E130307A14Rik-232","10:39512819-39607845","female"
"MT2B1_10_39526215","LTR","ERVL","Up","10:39526216-39526727","E130307A14Rik-234","10:39515470-39594411","female"
"MTC_17_36314318","LTR","ERVL-MaLR","Up","17:36314319-36314726","A930015D03Rik-202","17:36305345-36318903","female"
"MTC_17_36314318","LTR","ERVL-MaLR","Up","17:36314319-36314726","A930015D03Rik-201","17:36305345-36349335","female"
"MTC_17_36314318","LTR","ERVL-MaLR","Up","17:36314319-36314726","A930015D03Rik-206","17:36305390-36318899","female"
"MTC_17_36314318","LTR","ERVL-MaLR","Up","17:36314319-36314726","A930015D03Rik-205","17:36305390-36325082","female"
"MTC_17_36314318","LTR","ERVL-MaLR","Up","17:36314319-36314726","A930015D03Rik-204","17:36305396-36318884","female"
"MTC_17_36314318","LTR","ERVL-MaLR","Up","17:36314319-36314726","A930015D03Rik-208","17:36305396-36318884","female"
"MTC_17_36314318","LTR","ERVL-MaLR","Up","17:36314319-36314726","A930015D03Rik-207","17:36305396-36318885","female"
"MTC_17_36314318","LTR","ERVL-MaLR","Up","17:36314319-36314726","A930015D03Rik-203","17:36305396-36325082","female"
"MTC_17_36314318","LTR","ERVL-MaLR","Up","17:36314319-36314726","A930015D03Rik-209","17:36309263-36318319","female"
"MTE2a_3_118309596","LTR","ERVL-MaLR","Up","3:118309597-118309951","Gm26871-202","3:118223745-118310857","female"
"MTE2a_3_118309596","LTR","ERVL-MaLR","Up","3:118309597-118309951","Gm26871-210","3:118225065-118326865","female"
"MTE2a_3_118309596","LTR","ERVL-MaLR","Up","3:118309597-118309951","Gm26871-214","3:118225118-118310949","female"
"MTE2a_3_118309596","LTR","ERVL-MaLR","Up","3:118309597-118309951","Gm26871-209","3:118226993-118326855","female"
"MTE2a_3_118309596","LTR","ERVL-MaLR","Up","3:118309597-118309951","Gm26871-211","3:118227439-118326864","female"
"MTE2a_3_118309596","LTR","ERVL-MaLR","Up","3:118309597-118309951","Gm26871-216","3:118227549-118311638","female"
"MTE2a_3_118309596","LTR","ERVL-MaLR","Up","3:118309597-118309951","Gm26871-217","3:118227560-118310569","female"
"MTE2a_3_118309596","LTR","ERVL-MaLR","Up","3:118309597-118309951","Gm26871-208","3:118227560-118310961","female"
"MTE2a_3_118309596","LTR","ERVL-MaLR","Up","3:118309597-118309951","Gm26871-205","3:118227571-118310569","female"
"MTE2a_3_118309596","LTR","ERVL-MaLR","Up","3:118309597-118309951","Gm26871-212","3:118227579-118322490","female"
"MTE2a_3_118309596","LTR","ERVL-MaLR","Up","3:118309597-118309951","Gm26871-213","3:118227579-118322490","female"
"MTE2a_3_118309596","LTR","ERVL-MaLR","Up","3:118309597-118309951","Gm26871-204","3:118227615-118323671","female"
"MTE2a_3_118309596","LTR","ERVL-MaLR","Up","3:118309597-118309951","Gm26871-218","3:118247998-118313361","female"
"MTE2a_3_118309596","LTR","ERVL-MaLR","Up","3:118309597-118309951","Gm26871-230","3:118307787-118326860","female"
"MTE2b_13_15953569","LTR","ERVL-MaLR","Up","13:15953570-15954717","4933412O06Rik-232","13:15943574-15956491","female"
"MTE2b_13_15953569","LTR","ERVL-MaLR","Up","13:15953570-15954717","4933412O06Rik-218","13:15943574-16101255","female"
"MTE2b_13_15953569","LTR","ERVL-MaLR","Up","13:15953570-15954717","4933412O06Rik-217","13:15943574-16101277","female"
"MTE2b_13_15953569","LTR","ERVL-MaLR","Up","13:15953570-15954717","4933412O06Rik-216","13:15943619-16186596","female"
"MYSERV6-int_7_25260430","LTR","ERVK","Up","7:25260431-25263540","4732471J01Rik-206","7:25076203-25274499","female"
"MYSERV6-int_7_25260430","LTR","ERVK","Up","7:25260431-25263540","4732471J01Rik-207","7:25076207-25274503","female"
"MYSERV6-int_7_25260430","LTR","ERVK","Up","7:25260431-25263540","4732471J01Rik-210","7:25076225-25274499","female"
"MYSERV6-int_7_25260430","LTR","ERVK","Up","7:25260431-25263540","4732471J01Rik-208","7:25076225-25274503","female"
"MYSERV6-int_7_25260430","LTR","ERVK","Up","7:25260431-25263540","4732471J01Rik-209","7:25076227-25274503","female"
"MYSERV6-int_7_25260430","LTR","ERVK","Up","7:25260431-25263540","4732471J01Rik-203","7:25094839-25265842","female"
"MYSERV6-int_7_25260430","LTR","ERVK","Up","7:25260431-25263540","4732471J01Rik-205","7:25095889-25274499","female"
"MYSERV6-int_7_25260430","LTR","ERVK","Up","7:25260431-25263540","4732471J01Rik-211","7:25098256-25265379","female"
"MYSERV6-int_7_25260430","LTR","ERVK","Up","7:25260431-25263540","4732471J01Rik-226","7:25258695-25265840","female"
"MamRTE1_11_59639412","LINE","RTE-BovB","Up","11:59639413-59639579","Gm71996-201","11:59636592-59640920","female"
"MurSatRep1_8_130007236","Unknown","Unknown","Up","8:130007237-130010443","Gm32856-206","8:129989911-130011597","female"
"ORR1A2_17_8533501","LTR","ERVL-MaLR","Up","17:8533502-8533816","Gm49987-201","17:8529941-8615684","female"
"ORR1D1_4_42928905","LTR","ERVL-MaLR","Up","4:42928906-42929235","Gm68316-201","4:42924187-42933815","female"
"ORR1D2_X_93684369","LTR","ERVL-MaLR","Down","X:93684370-93684733","Gm62093-205","X:93651709-93714625","female"
"ORR1D2_X_93684369","LTR","ERVL-MaLR","Down","X:93684370-93684733","Gm62093-204","X:93651711-93714639","female"
"ORR1D2_X_93684369","LTR","ERVL-MaLR","Down","X:93684370-93684733","Gm62093-201","X:93651711-93715131","female"
"ORR1D2_X_93684369","LTR","ERVL-MaLR","Down","X:93684370-93684733","Gm62093-202","X:93651711-93715131","female"
"ORR1D2_X_93684369","LTR","ERVL-MaLR","Down","X:93684370-93684733","Gm62093-203","X:93651711-93715131","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-201","2:119424396-119433694","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-213","2:119424401-119429029","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-202","2:119424401-119437983","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-240","2:119424772-119431227","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-214","2:119424781-119431227","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-253","2:119424782-119430595","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-252","2:119424782-119430599","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-208","2:119424782-119431932","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-220","2:119424783-119431932","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-204","2:119424784-119431227","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-205","2:119424789-119431435","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-211","2:119424790-119431932","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-210","2:119424795-119437978","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-206","2:119424796-119431227","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-216","2:119424796-119437978","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-215","2:119424801-119427275","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-265","2:119424801-119428317","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-254","2:119424801-119430605","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-203","2:119424801-119431227","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-262","2:119424803-119430407","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-258","2:119424804-119430522","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-257","2:119424804-119430588","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-255","2:119424804-119430595","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-256","2:119424804-119430595","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-219","2:119424804-119430686","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-249","2:119424804-119430686","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-212","2:119424804-119431227","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-218","2:119424804-119431227","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-241","2:119424804-119431227","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-242","2:119424804-119431227","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-243","2:119424804-119431227","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-231","2:119424804-119436737","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-227","2:119424804-119436967","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-224","2:119424804-119437972","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-209","2:119424805-119427280","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-266","2:119424808-119428317","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-263","2:119424808-119430408","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-259","2:119424808-119430525","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-260","2:119424808-119430525","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-246","2:119424808-119431132","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-244","2:119424808-119431227","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-238","2:119424808-119434371","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-237","2:119424808-119435420","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-236","2:119424808-119436030","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-228","2:119424808-119436964","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-229","2:119424808-119436964","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-223","2:119424808-119437978","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-221","2:119424808-119437981","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-232","2:119424809-119436737","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-233","2:119424809-119436737","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-234","2:119424809-119436737","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-267","2:119424810-119427830","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-247","2:119424810-119431127","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-230","2:119424811-119436964","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-245","2:119424812-119431227","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-217","2:119424812-119436737","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-225","2:119424812-119437978","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-226","2:119424812-119437978","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-239","2:119424814-119434372","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-222","2:119424823-119436964","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-235","2:119424829-119436737","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-261","2:119424883-119430525","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-248","2:119425094-119431227","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-268","2:119425115-119427086","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-250","2:119425251-119431127","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-251","2:119425382-119431227","female"
"PB1D10_2_119426937","SINE","Alu","Up","2:119426938-119427062","Oip5os1-264","2:119425476-119430686","female"
"PB1D7_4_42930984","SINE","Alu","Up","4:42930985-42931136","Gm68316-201","4:42924187-42933815","female"
"RLTR10-int_9_110081598","LTR","ERVK","Up","9:110081599-110082594","Gm43622-201","9:110081194-110083212","female"
"RLTR26_7_61585016","LTR","ERVK","Up","7:61585017-61585433","A330076H08Rik-204","7:61577515-61632219","female"
"RLTR26_7_61585016","LTR","ERVK","Up","7:61585017-61585433","A330076H08Rik-203","7:61579885-61632106","female"
"RLTR28_10_111118101","LTR","ERVL","Up","10:111118102-111118594","Gm66134-202","10:111103361-111134498","female"
"RLTR28_10_111118101","LTR","ERVL","Up","10:111118102-111118594","Gm66134-203","10:111103365-111134240","female"
"RLTR28_10_111118101","LTR","ERVL","Up","10:111118102-111118594","Gm66134-201","10:111103365-111134891","female"
"RLTR28_10_111118101","LTR","ERVL","Up","10:111118102-111118594","Gm66134-204","10:111105784-111134229","female"
"RLTR4_MM-int_1_34466727","LTR","LTR","Up","1:34466728-34467997","Gm37233-202","1:34444160-34472371","female"
"RLTR4_MM-int_1_34466727","LTR","LTR","Up","1:34466728-34467997","Gm37233-201","1:34466083-34473403","female"
"RLTR4_MM-int_1_34468188","LTR","LTR","Up","1:34468189-34471934","Gm37233-202","1:34444160-34472371","female"
"RLTR4_MM-int_1_34468188","LTR","LTR","Up","1:34468189-34471934","Gm37233-201","1:34466083-34473403","female"
"RLTR4_MM-int_4_146588127","LTR","LTR","Up","4:146588128-146595710","1700095A21Rik-204","4:146567767-146631364","female"
"RLTR4_MM-int_4_146588127","LTR","LTR","Up","4:146588128-146595710","1700095A21Rik-205","4:146579615-146631329","female"
"RLTR4_MM-int_4_147303860","LTR","LTR","Up","4:147303861-147311430","ENSMUST00000354735","4:147272060-147343090","female"
"RLTR4_MM-int_5_43366024","LTR","LTR","Up","5:43366025-43373583","Gm7854-205","5:43306204-43375901","female"
"RLTR4_MM-int_5_43366024","LTR","LTR","Up","5:43366025-43373583","Gm7854-206","5:43309027-43376213","female"
"RLTR4_MM-int_5_43366024","LTR","LTR","Up","5:43366025-43373583","Gm7854-210","5:43309029-43375910","female"
"RLTR4_MM-int_5_43366024","LTR","LTR","Up","5:43366025-43373583","Gm7854-208","5:43309029-43375920","female"
"RLTR4_MM-int_5_43366024","LTR","LTR","Up","5:43366025-43373583","Gm7854-209","5:43309029-43375920","female"
"RLTR4_MM-int_5_43366024","LTR","LTR","Up","5:43366025-43373583","Gm7854-207","5:43309029-43375998","female"
"RLTR4_MM-int_5_43366024","LTR","LTR","Up","5:43366025-43373583","Gm7854-204","5:43309029-43392675","female"
"RLTR4_MM-int_5_43366024","LTR","LTR","Up","5:43366025-43373583","Gm7854-203","5:43309029-43392687","female"
"RLTR4_MM-int_5_43366024","LTR","LTR","Up","5:43366025-43373583","Gm7854-202","5:43309029-43392698","female"
"RLTR4_MM-int_5_43366024","LTR","LTR","Up","5:43366025-43373583","Gm7854-201","5:43309029-43392804","female"
"RLTR4_MM-int_5_43366024","LTR","LTR","Up","5:43366025-43373583","Gm7854-211","5:43309034-43375910","female"
"RLTR6_Mm_6_18847598","LTR","ERV1","Up","6:18847599-18848135","Gm67601-201","6:18842931-18848530","female"
"RLTR6_Mm_6_18847598","LTR","ERV1","Up","6:18847599-18848135","Gm20186-206","6:18842931-18848532","female"
"RLTR6_Mm_6_18847598","LTR","ERV1","Up","6:18847599-18848135","Gm20186-204","6:18842933-18848507","female"
"RLTR6_Mm_6_18847598","LTR","ERV1","Up","6:18847599-18848135","Gm20186-205","6:18845407-18848534","female"
"RLTR6_Mm_6_18847598","LTR","ERV1","Up","6:18847599-18848135","Gm20186-203","6:18845911-18848206","female"
"RMER10A_17_33031930","LTR","ERVL","Down","17:33031931-33032316","Gm26693-201","17:33029118-33040671","female"
"RMER12C_17_8561377","LTR","ERVK","Down","17:8561378-8561548","Gm49987-201","17:8529941-8615684","female"
"RMER13A_7_61585455","LTR","ERVK","Up","7:61585456-61585994","A330076H08Rik-204","7:61577515-61632219","female"
"RMER13A_7_61585455","LTR","ERVK","Up","7:61585456-61585994","A330076H08Rik-203","7:61579885-61632106","female"
"RMER17C_15_96179276","LTR","ERVK","Up","15:96179277-96179639","2610037D02Rik-209","15:96032698-96181404","female"
"RMER17C_15_96179276","LTR","ERVK","Up","15:96179277-96179639","2610037D02Rik-208","15:96032698-96181732","female"
"RMER17C_15_96179276","LTR","ERVK","Up","15:96179277-96179639","2610037D02Rik-201","15:96032700-96181489","female"
"RMER17C_15_96179276","LTR","ERVK","Up","15:96179277-96179639","2610037D02Rik-210","15:96034030-96181466","female"
"RMER17C_15_96179276","LTR","ERVK","Up","15:96179277-96179639","2610037D02Rik-207","15:96034030-96183965","female"
"RSINE1_17_36309911","SINE","B4","Up","17:36309912-36310057","A930015D03Rik-202","17:36305345-36318903","female"
"RSINE1_17_36309911","SINE","B4","Up","17:36309912-36310057","A930015D03Rik-201","17:36305345-36349335","female"
"RSINE1_17_36309911","SINE","B4","Up","17:36309912-36310057","A930015D03Rik-212","17:36305355-36311345","female"
"RSINE1_17_36309911","SINE","B4","Up","17:36309912-36310057","A930015D03Rik-206","17:36305390-36318899","female"
"RSINE1_17_36309911","SINE","B4","Up","17:36309912-36310057","A930015D03Rik-205","17:36305390-36325082","female"
"RSINE1_17_36309911","SINE","B4","Up","17:36309912-36310057","A930015D03Rik-204","17:36305396-36318884","female"
"RSINE1_17_36309911","SINE","B4","Up","17:36309912-36310057","A930015D03Rik-208","17:36305396-36318884","female"
"RSINE1_17_36309911","SINE","B4","Up","17:36309912-36310057","A930015D03Rik-207","17:36305396-36318885","female"
"RSINE1_17_36309911","SINE","B4","Up","17:36309912-36310057","A930015D03Rik-203","17:36305396-36325082","female"
"RSINE1_17_36309911","SINE","B4","Up","17:36309912-36310057","A930015D03Rik-209","17:36309263-36318319","female"
"URR1A_12_70308396","DNA","hAT-Charlie","Up","12:70308397-70308622","Gm48747-201","12:70297939-70322371","female"
"RLTR4_MM-int_4_146588127","LTR","LTR","Down","4:146588128-146595710","1700095A21Rik-204","4:146567767-146631364","male"
"RLTR4_MM-int_4_146588127","LTR","LTR","Down","4:146588128-146595710","1700095A21Rik-205","4:146579615-146631329","male"
